LISTA DE ARTICULOS Nº 201 VIGENCIA 29/09/2025,,,
,RESORTES AUTOMOTOR,PRECIO UNIT,
CODIGO,DESCRIPCION,LISTA 1,
BRM112,12 X 12 X 1000 SAE 1010,66191.99,
BRM2005,12 X 12 X 1000 SAE 1045,92459.86,
BRM113,13 X 13 X 1000 SAE 1010,71970.67,
BRM148,14 X  8 X 1000 SAE 1010,99104.75,
BRM1149,14 X   9 X 1000 SAE 1010,103756.18,
BRM14101000,14 X 10 X 1000 SAE 1010,109072.10,
BRM14121000,14 X 12 X 1000 SAE 1010,105749.65,
BRM114,14 X 14 X 1000 SAE 1010,73773.62,
BRM1581000,15 X 8 X 1000 SAE 1010,99104.75,
BRM1510,15 X 10 X 1000 SAE 1010,113723.53,
BRM115,15 X 15 X 1000 SAE 1010,79244.05,
BRM816,16  X 8 X 1000 SAE 1010,114984.62,
BRM1610,16 X 10 X 1000 SAE 1010,145619.05,
BRM2006,16 X 10 X 1000 SAE 1045,158244.35,
BRM16121000,16 X 12 X 1000  SAE 1010,158908.84,
BRM116,16 X 16 X 1000 SAE 1010,131664.76,
BRM2007,16 X 16 X 1000 SAE 1045,152263.95,
BRM1710,17 X 10 X 1000 SAE 1045,170869.66,
BRM117,17 X 17 X 1000 SAE 1010,133230.76,
BRM1861000,18  X 6 X 1000 SAE 1045,111815.88,
BRM1810,18 X 10 X 1000 SAE 1010,171534.15,
BRM11810,18 X 10 X 1000   SAE 1045,192133.34,
BRM1811,18 X 11 X 1000 SAE 1010,178179.05,
BRM181145,18 X 11 X 1000   SAE 1045,198778.24,
BRM1812,18 X 12 X 1000 SAE 1045,206752.12,
BRM18161000,18 X 16 X 1000 SAE 1045,251937.43,
BRM118,18 X 18 X 1000 SAE 1010,145104.97,
BRM19121000,19 X 12 X 1000 SAE 1045,212286.04,
BRM1419,19 X 14 X 1000 SAE 1045,233996.20,
BRM2012,20 X 12 X 1000 SAE 1010,205423.14,
BRM20124,20 X 12 X 1000 SAE 1045,212068.03,
BRM2014,20 X 14 X 1000 SAE 1045,224693.34,
BRM2016,20 X 16 X 1000 SAE 1045,278517.02,
BRM20201000,20 X 20 X 1000 SAE 1010,176409.68,
BRM228,22 X  8 X 1000 SAE 1045,180172.52,
BRM2212,22 X 12 X 1000 SAE 1045,273201.10,
BRM2214,22 X 14 X 1000 SAE 1045,305096.62,
BRM2414,24 X 14 X 1000 SAE 1045,318386.42,
BRM24241000,24 X 24 X 1000 SAE 1045,382177.45,
BRM2514,25 X 14 X 1000 SAE 1045,350946.42,
BRM2816,28 X 16 X 1000 SAE 1045,431349.70,
BRM32181000,32 X 18 X 1000 SAE 1045,630032.17,
BRM3222,32 X 22 X 1000 SAE 1045,716415.86,
BRM35181000,35 X 18 X 1000 SAE 1045,745653.41,
BRM35201000,35 X 20 X  1000 SAE 1045,789509.75,
,,,
,BARRAS MANTENIMIENTO EN PULGADAS X METRO,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
BRM1/8X1000,1/8 X 1/8 X 1000 SAE1010,31452.64,
BRM151,3/16 X 3/16 X 1000 SAE 1010,42490.22,
BRM172,1/4   X 3/16 X 1000 SAE 1045,43606.52,
BRM153,1/4 X 1/4 X 1000 SAE 1010,41184.29,
BRM170,1/4 X 5/16 X 1000 SAE 1010,41184.29,
BRM2008,1/4 X 5/16 X 1000 SAE 1045,54893.42,
BRM155,5/16 X 5/16 X 1000 SAE 1010,47237.92,
BRM171,5/16 X 3/8 X 1000 SAE 1010,69728.14,
BRM2009,5/16 X 3/8 X 1000 SAE 1045,92459.86,
BRM158,3/8 X 3/8 X 1000 SAE 1010,50479.51,
BRM161,7/16 X 7/16 X 1000 SAE 1010,54583.93,
BRM163,1/2  X 1/2 X 1000 SAE 1010,65880.26,
BRM165,9/16 X 9/16 X 1000 SAE 1010,67566.40,
BRM166,5/8 X 5/8 X 1000 SAE 1010,121697.41,
BRM2010,5/8 X 5/8 X 1000 SAE 1045,195455.79,
BRM167,3/4 X 3/4 X 1000 SAE 1045,231338.24,
BRM168,7/8 X 7/8 X 1000 SAE 1045,373413.50,
BRM169,"1"" X 1"" X 1000 SAE 1045",398516.05,
BRM1/2X1,"1/2"" X 1"" X 1000 SAE 1045",264562.74,
,,,
,BARRAS MANTENIMIENTO MILIMETRICAS ,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
BRM41,2 X  2 X  100 SAE 1045,8287.84,
BRM1,3  X  3 X  100 SAE 1045,6723.50,
BRM33300,3  X  3 X  300 SAE 1045,16658.15,
BRM43100,4  X  3  X  100 SAE 1045,9467.47,
BRM2,4  X  4 X  100 SAE 1010,5610.21,
BRM43300,4  X  3 X  300 SAE 1045,24890.05,
BRM3,4 X  4 X  300 SAE 1010,13318.30,
BRM53100,5  X  3  X  100 SAE 1010,9415.95,
BRM50,5  X  4 X  100 SAE 1045,6515.88,
BRM4,5 X  5 X  100 SAE 1010,6141.81,
BRM53300,5  X  3 X  300 SAE 1010,24735.50,
BRM5,5  X  5 X  300 SAE 1010,14913.07,
BRM74,6  X   4 X  100 SAE 1045,7005.64,
BRM64300,6  X  4  X 300 SAE 1010,5882.66,
BRM63300,6  X  3 X  300 SAE 1010,15909.81,
BRM65300,6  X  5 X  300 SAE 1010,19099.36,
BRM6,6 X  6 X 100 SAE 1010,6540.50,
BRM66150,6  X  6  X 150 SAE 1010,8932.66,
BRM7,6 X   6 X  300 SAE 1010,16109.16,
BRM8,7  X   7 X  150 SAE 1010,8832.99,
BRM75300,7  X  5  X 300 SAE 1010,16109.16,
BRM9,7  X   7 X  300 SAE 1010,15909.81,
BRM86100,8  X   6 X  100 SAE 1010,7005.64,
BRM86300,8  X   6 X  300 SAE 1010,17504.58,
BRM76,8  X   7 X  100 SAE 1010,6806.30,
BRM10,8  X  7 X  150 SAE 1010,9331.36,
BRM11,8  X  7 X  300 SAE 1010,16906.54,
BRM77,8  X   8 X  100 SAE 1010,7271.44,
BRM12,8 X  8 X  150 SAE 1010,10029.07,
BRM13,8  X   8 X  300 SAE 1010,18301.97,
BRM42,9 X  8 X  150 SAE 1010,11324.83,
BRM14,9  X   9 X  150 SAE 1010,10427.77,
BRM15,9 X  9 X  300 SAE 1010,19099.36,
BRM60,10 X  6 X  100 SAE 1010,6939.19,
BRM49,10 X   8 X  100 SAE 1010,9331.36,
BRM16,10 X  8 X  150 SAE 1010,13118.95,
BRM17,10 X  8 X  300 SAE 1010,24481.73,
BRM10830045,10 X  8 X  300 SAE 1045,26873.89,
BRM18,10 X 10 X  150 SAE 1010,10562.52,
BRM19,10 X 10 X  300 SAE 1010,19368.87,
BRM1111150,11 X 11 X  150 SAE 1010,10912.45,
BRM1111300,11 X 11 X 300 SAE 1010,20068.72,
BRM12818045,12 X  8 X  180 SAE 1045,18262.10,
BRM12815,12 X  8 X  150 SAE 1010,13617.32,
BRM20,12 X  8 X  180 SAE 1010,15989.55,
BRM21,12 X  8 X  300 SAE 1010,25478.46,
BRM46,12 X  9 X  180 SAE 1010,16826.80,
BRM129300,12 X  9 X  300 SAE 1010,31458.87,
BRM47,12 X  10  X  150 SAE 1010,15112.42,
BRM48,12 X 10 X  180 SAE 1010,17783.67,
BRM080,12 X 10 X 300 SAE 1010,28468.67,
BRM101,12 X 10 X 300 SAE 1045,33252.99,
BRM1212150,12 X 12 X  150 SAE 1010,11670.61,
BRM22,12 X 12 X  180 SAE 1010,13653.49,
BRM23,12 X 12 X  300 SAE 1010,21585.04,
BRM168150,16 X 8 X  150 SAE 1010,18989.50,
BRM1612180,16 X 12 X  180 SAE 1010,30342.53,
BRM1612300,16 X 12 X  300 SAE 1010,49400.10,
BRM137150,13 X  7  X  150 SAE 1045,14523.10,
BRM139150,13  X 9  X  150 SAE 1045,16607.52,
BRM45,13 X  7 X  180 SAE 1045,17076.49,
BRM44,13  X 9 X  180 SAE 1045,19577.79,
BRM13X180,13  X 13 X  180  SAE 1010,14693.66,
BRM148180,14 X  8 X 180 SAE 1010,19577.79,
BRM148300,14 X  8 X 300 SAE 1010,31458.87,
BRM152,14 X  9 X 100 SAE 1010,12122.22,
BRM24,14 X  9 X  180 SAE 1010,20415.05,
BRM25,14 X  9 X  300 SAE 1010,32854.30,
BRM1410,14 X 10 X 300 SAE 1010,34449.08,
BRM1410180,14 X 10 X  180 SAE 1010,18102.62,
BRM1412300,14 X 12 X  300 SAE 1010,33452.34,
BRM1414150,14 X 14 X  150 SAE 1010,12807.85,
BRM43,14 X 14 X  180 SAE 1010,15018.19,
BRM27,14 X 14 X  300 SAE 1010,23859.53,
BRM158180,15 X  8 X  180 SAE 1010,19577.79,
BRM168150,16 X 8 X  150 SAE 1010,18989.50,
BRM156,16 X 10 X 100 SAE 1010,16308.50,
BRM1610150,16 X 10 X 150 SAE 1010,23584.67,
BRM28,16 X 10 X  180 SAE 1010,27950.36,
BRM149,16 X 10 X  300 SAE 1010,45413.16,
BRM30,16 X 16 X  180 SAE 1010,25438.59,
BRM31,16 X 16 X  300 SAE 1010,41226.87,
BRM189300,18 X  9 X  300 SAE 1010,42279.97,
BRM186300,18 X  6 X  300 SAE 1045,35272.21,
BRM32,18 X 11 X  200 SAE 1010,37372.83,
BRM33,18 X 11 X  300 SAE 1010,55181.16,
BRM1812300,18 X 12 X  300 SAE 1045,63753.08,
BRM1816300,18 X 16 X  300 SAE 1045,77308.67,
BRM1818300,18 X 18 X  300 SAE 1010,45258.93,
BRM19300,19 X 19 X  300  SAE 1010,52896.21,
BRM78,20 X 10 X 300 SAE 1010,48403.36,
BRM34,20 X 12 X 200 SAE 1010,42821.65,
BRM35,20 X 12 X  300 SAE 1045,65347.86,
BRM20143,20 X 14 X  300 SAE 1045,69135.45,
BRM2020300,20 X 20 X  300 SAE 1010,54650.35,
BRM228300,22 X  8 X  300 SAE 1045,55779.20,
BRM36,22 X 14 X  300 SAE 1045,93256.43,
BRM24X300,24 X 14 X  300 SAE 1045,97243.37,
BRM37,25 X 14 X  300 SAE 1045,107011.37,
BRM2620300,26 X 20 X  300 SAE 1045,128939.54,
BRM38,28 X 16 X  300 SAE 1045,131132.35,
BRM39,32 X 18 X  300 SAE 1045,190737.10,
BRM3222300,32 X 22 X  300 SAE 1045,216652.20,
BRM40,36 X 20 X  300 SAE 1045,254528.13,
,,,
,BARRAS MANTENIMIENTO PULGADAS,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
BRM1/8X100,1/8 X 1/8 X 100 SAE1010,4891.86,
BRM51,3/16 X 3/16 X  100 SAE 1010,5995.62,
BRM52,3/16 X 3/16 X  300 SAE 1010,14474.51,
BRM53,1/4 X  1/4 X  100 SAE 1010,5865.03,
BRM54,1/4 X  1/4 X  300 SAE 1010,14082.73,
BRM72,1/4 X  5/16 X  100 SAE 1010,5865.03,
BRM90,1/4 X  5/16 X  100 SAE 1045,7235.94,
BRM71,1/4 X  5/16 X  150 SAE 1010,7919.45,
BRM70,1/4 X  5/16 X  300 SAE 1010,14082.73,
BRM70200,1/4 X  5/16 X  200 SAE 1010,9973.88,
BRM55,5/16 X 5/16 X  150 SAE 1010,8827.50,
BRM56,5/16 X 5/16 X  300 SAE 1010,15898.82,
BRM51638X150,5/16 X 3/8 X 150 SAE 1010,12201.03,
BRM73,3/8 X  3/8  X  100 SAE 1010,6794.55,
BRM58,3/8 X  3/8 X  150 SAE 1010,9313.74,
BRM3/8X7/16,3/8 X  7/16 X  150 SAE 1010,21275.70,
BRM59,"3/8"" X  3/8"" X  300 SAE 1010",16871.30,
BRM61,7/16 X 7/16 X  150 SAE 1010,9929.40,
BRM62,7/16 X 7/16 X  300 SAE 1010,18102.62,
BRM63,1/2  X  1/2 X  180 SAE 1010,13597.38,
BRM64,1/2 X  1/2 X  300 SAE 1010,21491.52,
BRM65,9/16 X 9/16 X  300 SAE 1010,21997.37,
BRM66,5/8 X  5/8 X  300 SAE 1010,38236.67,
BRM5/16X3/8,5/16 X  3/8 X  100 SAE 1010,8719.41,
BRM67,3/4 X  3/4 X  300 SAE 1045,71128.92,
BRM68,7/8 X  7/8 X  300 SAE 1045,113751.50,
BRM69,"1""  X   1""  X  300 SAE 1045",121282.26,
BRM1/2X1X500,"1/2""  X   1""  X  500 SAE 1045",133989.66,
SET163,BARRA MANTENIMIENTO 10 C/U EN 1 CAJA MADERA,925465.19,
,,,
,CHAVETAS PARTIDAS,PRECIO UNIT.,
0,Ø X  LARGO TOTAL,LISTA 1,
CHA110,"CHAV. PARTIDA  1,00 X  10",49.07,
CHA115,"CHAV. PARTIDA  1,00 X  15",58.22,
CHA120,"CHAV. PARTIDA  1,00 X  20",64.37,
CHA125,"CHAV. PARTIDA  1,00 X  25",73.15,
CHA130,"CHAV. PARTIDA  1,00 X  30",80.74,
CHA135,"CHAV. PARTIDA  1,00 X  35",97.98,
CHA140,"CHAV. PARTIDA  1,00 X  40",110.15,
CHA145,"CHAV. PARTIDA  1,00 X  45",162.28,
CHA150,"CHAV. PARTIDA  1,00 X  50",167.12,
CHA1510,"CHAV. PARTIDA  1,50 X  10",53.84,
CHA1515,"CHAV. PARTIDA  1,50 X  15",54.91,
CHA1520,"CHAV. PARTIDA  1,50 X  20",60.57,
CHA1525,"CHAV. PARTIDA  1,50 X  25",65.58,
CHA1530,"CHAV. PARTIDA  1,50 X  30",67.65,
CHA1535,"CHAV. PARTIDA  1,50 X  35",77.42,
CHA1540,"CHAV. PARTIDA  1,50 X  40",89.93,
CHA1545,"CHAV. PARTIDA  1,50 X  45",103.09,
CHA1550,"CHAV. PARTIDA  1,50 X  50",129.68,
CHA1555,"CHAV. PARTIDA  1,50 X  55",137.94,
CHA1560,"CHAV. PARTIDA  1,50 X  60",145.18,
CHA215,"CHAV. PARTIDA  2,00 X  15",68.67,
CHA220,"CHAV. PARTIDA  2,00 X  20",73.15,
CHA225,"CHAV. PARTIDA  2,00 X  25",82.57,
CHA230,"CHAV. PARTIDA  2,00 X  30",86.88,
CHA235,"CHAV. PARTIDA  2,00 X  35",100.93,
CHA240,"CHAV. PARTIDA  2,00 X  40",116.61,
CHA245,"CHAV. PARTIDA  2,00 X  45",136.09,
CHA250,"CHAV. PARTIDA  2,00 X  50",144.37,
CHA255,"CHAV. PARTIDA  2,00 X  55",169.06,
CHA260,"CHAV. PARTIDA  2,00 X  60",172.38,
CHA265,"CHAV. PARTIDA  2,00 X  65",226.12,
CHA270,"CHAV. PARTIDA  2,00 X  70",255.00,
CHA275,"CHAV. PARTIDA  2,00 X  75",275.00,
CHA2515,"CHAV. PARTIDA  2,50 X  15",77.54,
CHA2520,"CHAV. PARTIDA  2,50 X  20",82.84,
CHA2525,"CHAV. PARTIDA  2,50 X  25",101.41,
CHA2530,"CHAV. PARTIDA  2,50 X  30",107.27,
CHA2535,"CHAV. PARTIDA  2,50 X  35",117.93,
CHA2540,"CHAV. PARTIDA  2,50 X  40",141.78,
CHA2545,"CHAV. PARTIDA  2,50 X  45",154.20,
CHA2550,"CHAV. PARTIDA  2,50 X  50",180.13,
CHA2555,"CHAV. PARTIDA  2,50 X  55",190.81,
CHA2560,"CHAV. PARTIDA  2,50 X  60",206.60,
CHA2565,"CHAV. PARTIDA  2,50 X  65",260.45,
CHA2570,"CHAV. PARTIDA  2,50 X  70",289.58,
CHA2575,"CHAV. PARTIDA  2,50 X  75",315.68,
CHA2580,"CHAV. PARTIDA  2,50 X  80",356.48,
CHA320,"CHAV. PARTIDA  3,00 X  20",108.90,
CHA325,"CHAV. PARTIDA  3,00 X  25",116.49,
CHA330,"CHAV. PARTIDA  3,00 X  30",151.01,
CHA335,"CHAV. PARTIDA  3,00 X  35",165.68,
CHA340,"CHAV. PARTIDA  3,00 X  40",190.35,
CHA345,"CHAV. PARTIDA  3,00 X  45",199.87,
CHA350,"CHAV. PARTIDA  3,00 X  50",225.61,
CHA355,"CHAV. PARTIDA  3,00 X  55",250.96,
CHA360,"CHAV. PARTIDA  3,00 X  60",254.57,
CHA365,"CHAV. PARTIDA  3,00 X  65",258.74,
CHA370,"CHAV. PARTIDA  3,00 X  70",276.42,
CHA375,"CHAV. PARTIDA  3,00 X  75",288.99,
CHA380,"CHAV. PARTIDA  3,00 X  80",298.87,
CHA385,"CHAV. PARTIDA  3,00 X  85",314.97,
CHA390,"CHAV. PARTIDA  3,00 X  90",320.36,
CHA3100,"CHAV. PARTIDA  3,00 X 100",332.21,
CHA3520,"CHAV. PARTIDA  3,50 X  20",142.60,
CHA3525,"CHAV. PARTIDA  3,50 X  25",164.70,
CHA3530,"CHAV. PARTIDA  3,50 X  30",188.74,
CHA3535,"CHAV. PARTIDA  3,50 X  35",215.73,
CHA3540,"CHAV. PARTIDA  3,50 X  40",246.05,
CHA3545,"CHAV. PARTIDA  3,50 X  45",260.88,
CHA3550,"CHAV. PARTIDA  3,50 X  50",267.90,
CHA3555,"CHAV. PARTIDA  3,50 X  55",291.43,
CHA3560,"CHAV. PARTIDA  3,50 X  60",321.36,
CHA3565,"CHAV. PARTIDA  3,50 X  65",338.44,
CHA3570,"CHAV. PARTIDA  3,50 X  70",353.23,
CHA3575,"CHAV. PARTIDA  3,50 X  75",382.69,
CHA3580,"CHAV. PARTIDA  3,50 X  80",404.92,
CHA3585,"CHAV. PARTIDA  3,50 X  85",442.34,
CHA3590,"CHAV. PARTIDA  3,50 X  90",455.17,
CHA3510,"CHAV. PARTIDA  3,50 X 100",529.14,
CHA3511,"CHAV. PARTIDA  3,50 X 110",588.28,
CHA3512,"CHAV. PARTIDA  3,50 X 120",645.33,
CHA420,"CHAV. PARTIDA  4,00 X  20",158.25,
CHA425,"CHAV. PARTIDA  4,00 X  25",189.78,
CHA430,"CHAV. PARTIDA  4,00 X  30",217.05,
CHA435,"CHAV. PARTIDA  4,00 X  35",242.12,
CHA440,"CHAV. PARTIDA  4,00 X  40",278.85,
CHA445,"CHAV. PARTIDA  4,00 X  45",295.68,
CHA450,"CHAV. PARTIDA  4,00 X  50",327.40,
CHA455,"CHAV. PARTIDA  4,00 X  55",331.85,
CHA460,"CHAV. PARTIDA  4,00 X  60",346.17,
CHA465,"CHAV. PARTIDA  4,00 X  65",390.34,
CHA470,"CHAV. PARTIDA  4,00 X  70",415.01,
CHA475,"CHAV. PARTIDA  4,00 X  75",448.47,
CHA480,"CHAV. PARTIDA  4,00 X  80",457.48,
CHA485,"CHAV. PARTIDA  4,00 X  85",466.66,
CHA490,"CHAV. PARTIDA  4,00 X  90",501.98,
CHA4100,"CHAV. PARTIDA  4,00 X 100",559.75,
CHA4110,"CHAV. PARTIDA  4,00 X 110",646.99,
CHA4120,"CHAV. PARTIDA  4,00 X 120",703.87,
CHA4525,"CHAV. PARTIDA  4,50 X  25",264.89,
CHA4530,"CHAV. PARTIDA  4,50 X  30",269.52,
CHA4535,"CHAV. PARTIDA  4,50 X  35",283.98,
CHA4540,"CHAV. PARTIDA  4,50 X  40",324.90,
CHA4545,"CHAV. PARTIDA  4,50 X  45",354.96,
CHA4550,"CHAV. PARTIDA  4,50 X  50",381.09,
CHA4555,"CHAV. PARTIDA  4,50 X  55",419.31,
CHA4560,"CHAV. PARTIDA  4,50 X  60",434.09,
CHA4565,"CHAV. PARTIDA  4,50 X  65",456.99,
CHA4570,"CHAV. PARTIDA  4,50 X  70",537.38,
CHA4575,"CHAV. PARTIDA  4,50 X  75",576.64,
CHA4580,"CHAV. PARTIDA  4,50 X  80",590.71,
CHA4585,"CHAV. PARTIDA  4,50 X  85",606.67,
CHA4590,"CHAV. PARTIDA  4,50 X  90",656.62,
CHA4510,"CHAV. PARTIDA  4,50 X 100",690.63,
CHA4511,"CHAV. PARTIDA  4,50 X 110",798.07,
CHA4512,"CHAV. PARTIDA  4,50 X 120",883.88,
CHA525,"CHAV. PARTIDA  5,00 X  25",363.31,
CHA530,"CHAV. PARTIDA  5,00 X  30",374.44,
CHA535,"CHAV. PARTIDA  5,00 X  35",380.86,
CHA540,"CHAV. PARTIDA  5,00 X  40",401.20,
CHA545,"CHAV. PARTIDA  5,00 X  45",449.40,
CHA550,"CHAV. PARTIDA  5,00 X  50",481.77,
CHA555,"CHAV. PARTIDA  5,00 X  55",517.11,
CHA560,"CHAV. PARTIDA  5,00 X  60",566.28,
CHA565,"CHAV. PARTIDA  5,00 X  65",580.21,
CHA570,"CHAV. PARTIDA  5,00 X  70",615.52,
CHA575,"CHAV. PARTIDA  5,00 X  75",641.93,
CHA580,"CHAV. PARTIDA  5,00 X  80",688.31,
CHA585,"CHAV. PARTIDA  5,00 X  85",707.90,
CHA590,"CHAV. PARTIDA  5,00 X  90",733.88,
CHA5100,"CHAV. PARTIDA  5,00 X 100",763.26,
CHA5110,"CHAV. PARTIDA  5,00 X 110",900.24,
CHA5120,"CHAV. PARTIDA  5,00 X 120",984.66,
CHA5530,"CHAV. PARTIDA  5,50 X  30",448.94,
CHA5535,"CHAV. PARTIDA  5,50 X  35",452.74,
CHA5540,"CHAV. PARTIDA  5,50 X  40",502.01,
CHA5545,"CHAV. PARTIDA  5,50 X  45",524.64,
CHA5550,"CHAV. PARTIDA  5,50 X  50",563.92,
CHA5555,"CHAV. PARTIDA  5,50 X  55",597.06,
CHA5560,"CHAV. PARTIDA  5,50 X  60",653.90,
CHA5565,"CHAV. PARTIDA  5,50 X  65",664.46,
CHA5570,"CHAV. PARTIDA  5,50 X  70",727.03,
CHA5575,"CHAV. PARTIDA  5,50 X  75",756.54,
CHA5580,"CHAV. PARTIDA  5,50 X  80",845.20,
CHA5585,"CHAV. PARTIDA  5,50 X  85",863.42,
CHA5590,"CHAV. PARTIDA  5,50 X  90",916.70,
CHA5510,"CHAV. PARTIDA  5,50 X 100",1027.38,
CHA5511,"CHAV. PARTIDA  5,50 X 110",1103.11,
CHA5512,"CHAV. PARTIDA  5,50 X 120",1210.92,
CHA630,"CHAV. PARTIDA  6,00 X  30",626.84,
CHA635,"CHAV. PARTIDA  6,00 X  35",643.24,
CHA640,"CHAV. PARTIDA  6,00 X  40",666.28,
CHA645,"CHAV. PARTIDA  6,00 X  45",688.64,
CHA650,"CHAV. PARTIDA  6,00 X  50",701.61,
CHA655,"CHAV. PARTIDA  6,00 X  55",724.83,
CHA660,"CHAV. PARTIDA  6,00 X  60",767.79,
CHA665,"CHAV. PARTIDA  6,00 X  65",807.01,
CHA670,"CHAV. PARTIDA  6,00 X  70",880.97,
CHA675,"CHAV. PARTIDA  6,00 X  75",944.29,
CHA680,"CHAV. PARTIDA  6,00 X  80",962.35,
CHA685,"CHAV. PARTIDA  6,00 X  85",987.44,
CHA690,"CHAV. PARTIDA  6,00 X  90",1019.82,
CHA6100,"CHAV. PARTIDA  6,00 X100",1068.32,
CHA6110,"CHAV. PARTIDA  6,00 X 110",1097.67,
CHA6120,"CHAV. PARTIDA  6,00 X 120",1297.67,
CHA6535,"CHAV. PARTIDA  6,50 X  35",792.55,
CHA6540,"CHAV. PARTIDA  6,50 X  40",814.06,
CHA6545,"CHAV. PARTIDA  6,50 X  45",823.25,
CHA6550,"CHAV. PARTIDA  6,50 X  50",922.10,
CHA6555,"CHAV. PARTIDA  6,50 X  55",1007.00,
CHA6560,"CHAV. PARTIDA  6,50 X  60",1091.82,
CHA6565,"CHAV. PARTIDA  6,50 X  65",1170.40,
CHA6570,"CHAV. PARTIDA  6,50 X  70",1242.07,
CHA6575,"CHAV. PARTIDA  6,50 X  75",1268.30,
CHA6580,"CHAV. PARTIDA  6,50 X  80",1386.26,
CHA6585,"CHAV. PARTIDA  6,50 X  85",1410.46,
CHA6590,"CHAV. PARTIDA  6,50 X  90",1446.06,
CHA6510,"CHAV. PARTIDA  6,50 X 100",1580.43,
CHA6511,"CHAV. PARTIDA  6,50 X 110",1798.30,
CHA6512,"CHAV. PARTIDA  6,50 X 120",1879.59,
CHA735,"CHAV. PARTIDA  7,00 X  35",875.18,
CHA740,"CHAV. PARTIDA  7,00 X  40",946.21,
CHA745,"CHAV. PARTIDA  7,00 X  45",1050.51,
CHA750,"CHAV. PARTIDA  7,00 X  50",1151.63,
CHA755,"CHAV. PARTIDA  7,00 X  55",1255.68,
CHA760,"CHAV. PARTIDA  7,00 X  60",1280.85,
CHA765,"CHAV. PARTIDA  7,00 X  65",1412.94,
CHA770,"CHAV. PARTIDA  7,00 X  70",1456.89,
CHA775,"CHAV. PARTIDA  7,00 X  75",1543.85,
CHA780,"CHAV. PARTIDA  7,00 X  80",1675.31,
CHA785,"CHAV. PARTIDA  7,00 X  85",1701.44,
CHA790,"CHAV. PARTIDA  7,00 X  90",1722.37,
CHA7100,"CHAV. PARTIDA  7,00 X 100",1833.85,
CHA7110,"CHAV. PARTIDA  7,00 X 110",1876.57,
CHA7120,"CHAV. PARTIDA  7,00 X 120",1966.27,
CHA7535,"CHAV. PARTIDA  7,50 X  35",979.88,
CHA7540,"CHAV. PARTIDA  7,50 X  40",1025.03,
CHA7545,"CHAV. PARTIDA  7,50 X  45",1150.46,
CHA7550,"CHAV. PARTIDA  7,50 X  50",1229.57,
CHA7555,"CHAV. PARTIDA  7,50 X  55",1376.28,
CHA7560,"CHAV. PARTIDA  7,50 X  60",1525.79,
CHA7565,"CHAV. PARTIDA  7,50 X  65",1568.16,
CHA7570,"CHAV. PARTIDA  7,50 X  70",1730.84,
CHA7575,"CHAV. PARTIDA  7,50 X  75",1879.63,
CHA7580,"CHAV. PARTIDA  7,50 X  80",1963.71,
CHA7585,"CHAV. PARTIDA  7,50 X  85",2030.04,
CHA7590,"CHAV. PARTIDA  7,50 X  90",2145.13,
CHA75100,"CHAV. PARTIDA  7,50 X 100",2360.27,
CHA7511,"CHAV. PARTIDA  7,50 X 110",2583.48,
CHA7512,"CHAV. PARTIDA  7,50 X 120",2729.29,
CHA840,"CHAV. PARTIDA  8,00 X  40",1186.50,
CHA845,"CHAV. PARTIDA  8,00 X  45",1320.96,
CHA850,"CHAV. PARTIDA  8,00 X  50",1363.89,
CHA855,"CHAV. PARTIDA  8,00 X  55",1409.59,
CHA860,"CHAV. PARTIDA  8,00 X  60",1488.60,
CHA865,"CHAV. PARTIDA  8,00 X  65",1571.29,
CHA870,"CHAV. PARTIDA  8,00 X  70",1608.61,
CHA875,"CHAV. PARTIDA  8,00 X  75",1793.85,
CHA880,"CHAV. PARTIDA  8,00 X  80",1900.60,
CHA885,"CHAV. PARTIDA  8,00 X  85",1981.78,
CHA890,"CHAV. PARTIDA  8,00 X  90",2016.19,
CHA8100,"CHAV. PARTIDA  8,00 X 100",2148.58,
CHA8110,"CHAV. PARTIDA  8,00 X 110",2313.57,
CHA8120,"CHAV. PARTIDA  8,00 X 120",2425.82,
SET301,CHAVETAS PARTIDAS REDUCIDO CON 1 GAVETERO.,1163001.05,
SET302,CHAVETAS PARTIDAS GRANDE CON 4 CAJAS DE MADERA,1939234.54,
,,,
,PASADORES DE ALETA  ,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
CHA940,"PAS.ALETA  9,00 X 40",2401.11,
CHA950,"PAS.ALETA  9,00 X 50",2586.68,
CHA960,"PAS.ALETA  9,00 X 60",2841.09,
CHA970,"PAS.ALETA  9,00 X 70",2849.61,
CHA980,"PAS.ALETA  9,00 X 80",3017.93,
CHA990,"PAS.ALETA  9,00 X 90",3659.56,
CHA9100,"PAS.ALETA  9,00 X100",3698.18,
CHA9110,"PAS.ALETA  9,00 X110",3887.47,
CHA9120,"PAS.ALETA  9,00 X120",4170.45,
CHA9130,"PAS.ALETA  9,00 X 130",4316.88,
CHA9140,"PAS.ALETA  9,00 X140",4593.96,
CHA9150,"PAS.ALETA  9,00 X 150",4966.67,
CHA9160,"PAS.ALETA  9,00 X 160",5376.98,
CHA9170,"PAS.ALETA  9,00 X 170",5640.80,
CHA9180,"PAS.ALETA  9,00 X 180",5961.00,
CHA9190,"PAS.ALETA  9,00 X 190",6129.17,
