LISTA DE ARTICULOS Nº 201 VIGENCIA 29/09/2025,,,
,RESORTES AUTOMOTOR,PRECIO UNIT,
CODIGO,DESCRIPCION,LISTA 1,
,Retorno zapata anclaje Dodge 400 - DP 500 - D 500.,,
A143,Patin freno largo trasero Rastrojero. mod. nuevo,21284.12,
A144,Bomba de aceite universal. Varios.,7603.08,
A145,Res. escobilla limpia parabrisa Largo. Varios.,7902.72,
A147,Patin Freno del. y tras a aire Dodge 600-D yDP 600. Ford del. y tras. 600- 700 - 619,18000.64,
,Delantero y trasero 673 - 674. Fiat camiones,,
A148,Patín Freno Inf. delan. Dodge CD 500- D400- DP 500.Ford 600 1964/77.Ford 350 trasero ,13610.24,
A149,Crique (gato) izquierdo Ford- Chevrolet- Valiant.,7683.20,
A150,Res. para asiento hidraulico camiones y colectivos,63552.85,
A151,Reforma cilindro de Freno 7/8.,4375.31,
A152,Caja de direccion Renault 12 y Dodge 1500. Tapon.,4170.88,
A153,Caja de direccion Peugeot.,11524.80,
A154,Patin Freno inf. del. y Tras. Renault 4 Y R 6. Trasero Renault 12.,9878.40,
A155,Retorno zapata Freno corto tras. Hid. Ford 700 desde 1968/77.,27110.72,
,Dodge D600 - DP600.  Chevrolet CD600 - C 60,,
A156,Retorno zapata freno largo tras. Hid. Ford 700 desde 1968/77.,27879.04,
,Dodge D600 - DP600.  Chevrolet CD600 - C 60,,
A157,Patin Freno sup. doble cuerpo Ford 350 l968/77.,27879.04,
A158,Caja de direccion Dodge 1500. Corto.,3270.86,
A159,Caja de direccion Fiat 128. Empujador.,3292.80,
A160,Caja de direccion Fiat todos. Placa.,3402.56,
A161,Soporte de tapa de direccion Renault 4.,6892.93,
A162,Valvula interior Dodge 1500. dde l975. Motor 1798cc. Ref. Orig 71248568,17825.02,
A163,Valvula exterior Dodge 1500. dde l975. Motor 1798c,32818.24,
A164,Retroceso Freno mano Ford Falcon. Regulador automatico Tras. Dodge GTX/ Polara,13829.76,
A165,Alargue inf. suplem. Freno tras.Fiat 125-1500-1600,4148.93,
A166,Crique (gato) derecho. Ford- Chevrolet- Dodge.,7683.20,
A167,Patin Freno delantero inferior Ford 350. mod 68/90,11195.52,
A168,Seg. Patin del. tras. derecho Ford 350. 1968/90,11854.08,
A169,Seg. Patin del. tras. izquierdo Ford 350. 1968-90,11854.08,
A170,Registro Patin Freno automatico Ford 350. Izquier.,9658.88,
A171,Registro Patin Freno automatico Ford 350. Derecho.,9658.88,
A172,Embrague Renault 12 y R 6.,11150.70,
