Codigo,Nombre,Direccion
315,San Cayetano,Grito de Ascencio 3759
316,Frontera  NO/CONTRAREEMBOLSO,John Cooke 3225
317,El Sol Cuyano 4919-7573,Ferre 2135
318,Logistica Di Fabio  4918-3232 4918-3242,San Pedrito 3476
319,Enco SRL TE 4302-9093 4302-1240,Australia 2800
320,Raosa SRL2206-2645/46,"Pergamino 3750 Nave ""b"" 56 (CTC)"
321,Sebi 4912-7016,Av. Velez Sarfield y Suarez
322,OJO NO MANDAR MAS Andina Hnos,Echeandia 4661
323,Mar de Ajo 4941-5680,Catulo Castillo 2444
324,Dorcas SRL 4942-9903,Pedro Chutro 2735
325,Juguera Alberto 4228-1645,Cnel Sayo 2651
326,Camionera Rosarina 4581-9519,Cesar Diaz 2153
327,Becerra 4919-4801,Culpina 3518
328,Camufer SA 4301-7505,A. del Valle 1139
329,Super 73 ,FERRE 2630
330,Peruginni (Ex Pilli) 4911-7744,Santo Domingo 4241
331,El Suarense 4931-8988,Humberto Primo 3352
332,20 de Octubre 4301-1407,Gral Iriarte 2775
333,Expreso Algarañaz 4942-6684,Uspallata 2635
334,El Nene 4919-4801,Culpina 3518
335,Diaz,Ancaste 3660
336,Union-(Pringles) 4304-2224,"Estacion Sola, Galpon 5, Puerta 2223"
337,Meridiano 2 (NO USAR MAS)  ,Ferre 2135
338,Rodriguez Ramon,Pedernera 2815
339,Expreso del Ferrocarril 4304-0031,Gral Hornos 11
340,Cirelda,Monteagudo 850
341,Richter TE:4308-1526 4308-6262,Pergamino 3751 (CTC) NAVE 3 C 74 /C 76
342,Di Pardo SRL. 4302-7972,Lujan 2602 Esq. Sta Elena
343,A.L.A. 4932-6899,Virrey Liniers 1350
344,Andelica S.A TE:4632-8081,Altte F. J. Segui 309
345,Cruz Del Sur 4480-6666 ,Perdamino 3751 (CTC - NAVE D)
346,El Zonda TE: 4582-0022,Pepiri 633
347,Morell S.A TE 4912-0305 ,MAGALDI 1344 BARRACAS
348,Sanchez (Cba) TE:922-9517,Santa Catalina 1769
349,La Union (Loberia) 4301-3171,Alvar Nuñez 234
350,Di Clemente 4942-2196,Labarden 690
351,Montero 4911-2083,Grito de Ascencio 3759
352,Sur-Mar (NO VA AL SUR) 4301-6563,Salomon 667
